             ti                       w1i                      w2i       
   9.0999999999999996       -186.55176115455902       -28.748686322968272     
   9.2000000000000011       -189.42927943558806       -28.801399850681477     
   9.3000000000000007       -192.31198611712719       -28.852463081784880     
   9.4000000000000004       -195.19971876649279       -28.901927681932790     
   9.5000000000000000       -198.09232003626332       -28.949843699288568     
   9.6000000000000014       -200.98963750507565       -28.996259615163229     
   9.7000000000000011       -203.89152352340551       -29.041222393068722     
   9.8000000000000007       -206.79783506417601       -29.084777526235499     
   9.9000000000000004       -209.70843357804327       -29.126969083642447     
   10.000000000000000       -212.62318485321239       -29.167839754605790     
   10.100000000000001       -215.54195887964244       -29.207430891972027     
   10.200000000000001       -218.46462971750245       -29.245782553958637     
   10.300000000000001       -221.39107536974592       -29.282933544684898     
   10.400000000000000       -224.32117765867446       -29.318921453433799     
   10.500000000000000       -227.25482210636585       -29.353782692684781     
   10.600000000000001       -230.19189781884563       -29.387552534955798     
   10.700000000000001       -233.13229737388474       -29.420265148491971     
   10.800000000000001       -236.07591671231003       -29.451953631836929     
   10.900000000000000       -239.02265503271744       -29.482650047321840     
   11.000000000000000       -241.97241468948138       -29.512385453505999     
   11.100000000000001       -244.92510109395710       -29.541189936601803     
   11.200000000000001       -247.88062261877613       -29.569092640915912     
   11.300000000000001       -250.83889050513795       -29.596121798337382     
   11.400000000000000       -253.79981877300406       -29.622304756902629     
   11.500000000000000       -256.76332413410353       -29.647668008466098     
   11.600000000000001       -259.72932590766220       -29.672237215504669     
   11.700000000000001       -262.69774593876997       -29.696037237082880     
   11.800000000000001       -265.66850851930388       -29.719092154005271     
   11.900000000000000       -268.64154031132699       -29.741425293181287     
   12.000000000000000       -271.61677027288493       -29.763059251227386     
   12.100000000000001       -274.59412958612603       -29.784015917330244     
   12.200000000000001       -277.57355158767155       -29.804316495394172     
   12.300000000000001       -280.55497170116575       -29.823981525495192     
   12.400000000000000       -283.53832737193784       -29.843030904663419     
   12.500000000000000       -286.52355800370918       -29.861483907014840     
   12.600000000000001       -289.51060489728212       -29.879359203252815     
   12.700000000000001       -292.49941119114834       -29.896674879559047     
   12.800000000000001       -295.48992180395658       -29.913448455893143     
   12.900000000000000       -298.48208337878128       -29.929696903719258     
   13.000000000000000       -301.47584422913633       -29.945436663177791     
   13.100000000000001       -304.47115428667871       -29.960683659719471     
   13.200000000000001       -307.46796505054954       -29.975453320218698     
   13.300000000000001       -310.46622953830098       -29.989760588582410     
   13.400000000000000       -313.46590223835955       -30.003619940870298     
   13.500000000000000       -316.46693906397752       -30.017045399941644     
   13.600000000000001       -319.46929730862615       -30.030050549643619     
   13.700000000000001       -322.47293560278536       -30.042648548555384     
   13.800000000000001       -325.47781387208596       -30.054852143301911     
   13.900000000000000       -328.48389329676269       -30.066673681450990     
   14.000000000000000       -331.49113627237642       -30.078125124006462     
   14.100000000000001       -334.49950637176602       -30.089218057510340     
   14.200000000000001       -337.50896830819153       -30.099963705766044     
   14.300000000000001       -340.51948789963103       -30.110372941194605     
   14.400000000000000       -343.53103203419545       -30.120456295835375     
   14.500000000000000       -346.54356863662588       -30.130223972002309     
   14.600000000000001       -349.55706663584016       -30.139685852606636     
   14.700000000000001       -352.57149593349493       -30.148851511156380     
   14.800000000000001       -355.58682737353251       -30.157730221442794     
   14.900000000000000       -358.60303271268054       -30.166330966923574     
   15.000000000000000       -361.62008459187581       -30.174662449812296     
   15.100000000000001       -364.63795650858225       -30.182733099883286     
   15.200000000000001       -367.65662278997570       -30.190551083000862     
   15.300000000000001       -370.67605856696844       -30.198124309381519     
   15.400000000000000       -373.69623974904636       -30.205460441597484     
   15.500000000000000       -376.71714299989452       -30.212566902329669     
   15.600000000000001       -379.73874571378542       -30.219450881877940     
   15.700000000000001       -382.76102599270661       -30.226119345436231     
   15.800000000000001       -385.78396262420421       -30.232579040139917     
   15.900000000000000       -388.80753505992038       -30.238836501892550     
   16.000000000000000       -391.83172339480245       -30.244898061978869     
